t=2026-05-14T15:23:24+0800 lvl=info msg="no configuration paths supplied"
t=2026-05-14T15:23:24+0800 lvl=info msg="using configuration at default config path" path="/Users/aagungwwahyu/Library/Application Support/ngrok/ngrok.yml"
t=2026-05-14T15:23:24+0800 lvl=info msg="open config file" path="/Users/aagungwwahyu/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-05-14T15:23:24+0800 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-14T15:23:24+0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-14T15:23:25+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-14T15:23:25+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-14T15:23:25+0800 lvl=info msg="update available" obj=updater
t=2026-05-14T15:23:26+0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5000 url=https://0fb0-2405-8180-a01-4a61-952d-21b9-c50-1bbd.ngrok-free.app
t=2026-05-14T15:23:56+0800 lvl=warn msg="failed to open private leg" id=8c73d5dd1ce2 privaddr=localhost:5000 err="dial tcp [::1]:5000: connect: connection refused"
t=2026-05-14T15:24:07+0800 lvl=warn msg="failed to open private leg" id=40b0847c20ff privaddr=localhost:5000 err="dial tcp [::1]:5000: connect: connection refused"
t=2026-05-14T15:51:20+0800 lvl=info msg="join connections" obj=join id=b56c7ea2abd6 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:52:02+0800 lvl=info msg="join connections" obj=join id=523b1e3fd953 l=[::1]:5000 r=8.215.23.167:4866
t=2026-05-14T15:53:03+0800 lvl=info msg="join connections" obj=join id=ed259eaa297a l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:53:03+0800 lvl=info msg="join connections" obj=join id=0f18ce1c0553 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:53:03+0800 lvl=info msg="join connections" obj=join id=e5be5e0907be l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:53:03+0800 lvl=info msg="join connections" obj=join id=03e7e79c49e3 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:53:03+0800 lvl=info msg="join connections" obj=join id=c95e051133cb l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:53:07+0800 lvl=info msg="join connections" obj=join id=833e558841cc l=[::1]:5000 r=8.215.21.228:41269
t=2026-05-14T15:53:24+0800 lvl=info msg="join connections" obj=join id=a72dd3969c09 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:53:24+0800 lvl=info msg="join connections" obj=join id=19eda9c10c7d l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:53:24+0800 lvl=info msg="join connections" obj=join id=6589c77fd98e l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:53:24+0800 lvl=info msg="join connections" obj=join id=0ebbdbe57dcb l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:53:29+0800 lvl=info msg="join connections" obj=join id=998c1d151a52 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:53:29+0800 lvl=info msg="join connections" obj=join id=5ff48a2487e0 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:55:57+0800 lvl=info msg="join connections" obj=join id=c65c0938cc0b l=[::1]:5000 r=8.215.23.167:2563
t=2026-05-14T15:56:43+0800 lvl=info msg="join connections" obj=join id=10a5743268c8 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:57:33+0800 lvl=info msg="join connections" obj=join id=8b2f40e83bea l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T16:21:22+0800 lvl=info msg="join connections" obj=join id=6fa1bd3fe9b0 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:22+0800 lvl=info msg="join connections" obj=join id=0a089d52f969 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:22+0800 lvl=info msg="join connections" obj=join id=af0b60a5a24f l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:22+0800 lvl=info msg="join connections" obj=join id=f22e6e9fec84 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:30+0800 lvl=info msg="join connections" obj=join id=777e1eb631e6 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:33+0800 lvl=info msg="join connections" obj=join id=925fe757cf8c l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:33+0800 lvl=info msg="join connections" obj=join id=c859b31bb496 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:33+0800 lvl=info msg="join connections" obj=join id=b838330baa89 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:37+0800 lvl=info msg="join connections" obj=join id=baa0399bcc76 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:38+0800 lvl=info msg="join connections" obj=join id=9cd97f87a5b7 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:38+0800 lvl=info msg="join connections" obj=join id=2ecb1aeacd97 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:48+0800 lvl=info msg="join connections" obj=join id=ed7817a7c4fb l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:48+0800 lvl=info msg="join connections" obj=join id=2681dfdb6a6e l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
t=2026-05-14T16:21:48+0800 lvl=info msg="join connections" obj=join id=b8be3a00c782 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63669
